restaurant_name,location,cuisines,rate,approx_cost_for_two,online_order,book_table,price_segment,rating_category
Carnatic,Church Street,"South Indian, Kerala, Andhra, Biryani, Chettinad, Konkan, Mangalorean",4.2,1000,No,Yes,Mid,High Rating
1Q1,Infantry Road,"Asian, Japanese, Thai, Malaysian, Vietnamese, Korean, Chinese",4.3,2500,No,Yes,Premium,High Rating
Tiamo - Conrad Bengaluru,Ulsoor,"Italian, Mediterranean",4.2,2500,No,Yes,Premium,High Rating
Millers 46,Vasanth Nagar,"American, Continental, Steak",4.4,1100,No,Yes,Premium,High Rating
Eden Park,Cunningham Road,"Andhra, Biryani, Chinese, North Indian, Seafood, South Indian",4.1,1100,Yes,Yes,Premium,High Rating
Watson's,Ulsoor,"Finger Food, North Indian",4.2,1300,No,Yes,Premium,High Rating
Pasta Street,Cunningham Road,"Italian, Pizza, Salad",4.5,1300,Yes,Yes,Premium,High Rating
Naachiyar's,Ulsoor,Chettinad,3.9,600,Yes,No,Mid,Average
Carnival de Goa,Ulsoor,"Goan, Mangalorean, Pizza",4.2,1000,Yes,Yes,Mid,High Rating
Ente Keralam,Ulsoor,"Kerala, Seafood",4.0,1300,Yes,No,Premium,High Rating
Dolci Desserts,Cunningham Road,"Cafe, Desserts",4.3,750,Yes,No,Mid,High Rating
Republic Of Noodles - Lemon Tree Premier,Ulsoor,"Malaysian, Singaporean, Thai",4.5,1800,No,Yes,Premium,High Rating
Cafe Kaara,Ulsoor,"Cafe, Salad, Desserts, Pizza",4.2,750,No,No,Mid,High Rating
Skoolroom,Ulsoor,"Cafe, Continental, Italian, Burger, Beverages",4.3,700,Yes,No,Mid,High Rating
Benjarong,Ulsoor,"Thai, Asian",4.2,1800,Yes,No,Premium,High Rating
Mikusu - Conrad Bengaluru,Ulsoor,"Japanese, Chinese, Thai",4.1,3000,No,Yes,Premium,High Rating
Skylit - Citrus Hotels,Cunningham Road,"North Indian, Mughlai, Mediterranean",4.0,1300,No,Yes,Premium,High Rating
Banjara Melting Pot,Cunningham Road,"North Indian, Chinese, Seafood",4.2,1700,Yes,Yes,Premium,High Rating
Step Right Up,Vasanth Nagar,"Cafe, Italian",4.1,300,Yes,No,Low,High Rating
Shezan,Cunningham Road,"Chinese, Continental, North Indian, Mughlai, Steak",4.1,600,Yes,No,Mid,High Rating
The Grill House,Ulsoor,"American, Mexican, Italian, Steak",4.1,1200,Yes,Yes,Premium,High Rating
Infinitea Tea Room & Tea Store,Cunningham Road,"Continental, Cafe, Desserts, Salad, Momos",4.3,1000,Yes,Yes,Mid,High Rating
Mudpipe Cafe,Cunningham Road,"Cafe, Continental, Italian, Burger",4.2,750,Yes,No,Mid,High Rating
Xpress Biryani,Ulsoor,"Biryani, North Indian, Kebab",4.3,650,Yes,No,Mid,High Rating
Teppan Japanese Grill & Sushi Bar,Ulsoor,Japanese,4.3,2000,Yes,No,Premium,High Rating
Indian Durbar - Conrad Bengaluru,Ulsoor,North Indian,3.9,3000,No,Yes,Premium,Average
Ging - Royal Orchid Central,MG Road,Asian,4.3,2000,Yes,Yes,Premium,High Rating
Mani's Dum Biryani,Ulsoor,"Biryani, Kebab",4.0,750,Yes,No,Mid,High Rating
Urban Solace - CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© for the Soul,Ulsoor,"Cafe, American, Continental, Steak",3.9,800,Yes,No,Mid,Average
Smally's Resto Cafe,Ulsoor,"Cafe, Italian, Burger, American, Steak",4.1,650,Yes,Yes,Mid,High Rating
Peppa Zzing,Infantry Road,"Cafe, Fast Food, Burger",4.3,800,Yes,No,Mid,High Rating
Citrus Cafe - Lemon Tree Premier,Ulsoor,"North Indian, Continental, South Indian",3.9,2200,No,No,Premium,Average
Cafe Imroze,Infantry Road,"Cafe, Burger, Italian, Fast Food",3.6,650,Yes,No,Mid,Average
Ramana's,Cunningham Road,"North Indian, Chinese, Healthy Food",4.0,850,Yes,Yes,Mid,High Rating
The Souk,Ulsoor,"Cafe, Mediterranean, Italian, Pizza, Continental",3.7,800,Yes,No,Mid,Average
Marzipan Cafe & Bakery,Ulsoor,"Cafe, Mediterranean, Bakery, Greek, Beverages",4.2,700,Yes,No,Mid,High Rating
Red Lantern,Cunningham Road,"Chinese, Thai",3.7,700,Yes,No,Mid,Average
Cafe Cassia& Deli,Ulsoor,"Lebanese, Mediterranean, Cafe",4.2,1000,No,No,Mid,High Rating
WYT RestroPub,MG Road,"North Indian, Chinese",2.7,1000,No,No,Mid,Low Rating
Chung's Chinese Corner,Cunningham Road,Chinese,3.3,700,Yes,No,Mid,Average
Ta'aam,Cunningham Road,"North Indian, Mughlai, Arabian, Chinese",4.1,750,Yes,No,Mid,High Rating
Zodiac - Fortune Select JP Cosmos Hotel,Cunningham Road,"North Indian, South Indian, Chinese, Continental",3.8,1800,Yes,Yes,Premium,Average
Vijaya Gardenia,Banaswadi,"North Indian, Chinese, Andhra",3.4,500,Yes,No,Low,Average
Hotel Chandrika,Cunningham Road,"South Indian, North Indian, Chinese, Street Food",3.8,400,Yes,No,Low,Average
Sagar Delicacy,Ulsoor,"North Indian, Chinese, Fast Food, Street Food",3.9,500,Yes,No,Low,Average
Pinxx - Royal Orchid Central,MG Road,"Italian, European",3.8,1600,Yes,Yes,Premium,Average
Bangalore Masala House,Vasanth Nagar,"Cafe, Continental, Fast Food",4.2,500,Yes,No,Low,High Rating
Amritsari Kulcha Bite,Ulsoor,North Indian,3.9,150,Yes,No,Low,Average
Retreat Restaurant,RT Nagar,"Chinese, North Indian",3.5,500,Yes,No,Low,Average
Maratha Darshan,Cunningham Road,"Maharashtrian, North Indian",4.0,400,No,No,Low,High Rating
Slounge - Lemon Tree Premier,Ulsoor,Finger Food,4.0,1500,No,No,Premium,High Rating
A2B - Adyar Ananda Bhavan,Ulsoor,"South Indian, North Indian, Chinese, Street Food, Fast Food",3.6,400,Yes,No,Low,Average
Shanthi Sagar,Ulsoor,"South Indian, North Indian, Chinese, Juices",4.1,250,Yes,No,Low,High Rating
Moto Store & CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,Ulsoor,"Pizza, Italian, Cafe, Burger, Finger Food, Fast Food, Sandwich",4.2,500,Yes,No,Low,High Rating
Ujwal Restaurant,Vasanth Nagar,"Seafood, North Indian, Chinese",3.9,550,Yes,No,Mid,Average
Xian,Ulsoor,"Chinese, Thai",3.8,800,Yes,Yes,Mid,Average
Soul Cafe,MG Road,"Cafe, Continental, Italian",3.9,800,No,Yes,Mid,Average
Gobble Up Churros Cafe,Ulsoor,"Beverages, Cafe, Desserts, Spanish, Bakery",3.8,400,Yes,No,Low,Average
Upsouth,Banaswadi,South Indian,3.8,300,Yes,No,Low,Average
California Burrito,Cunningham Road,"Mexican, Fast Food",4.0,400,No,No,Low,High Rating
BanBay,Vasanth Nagar,"Cafe, Modern Indian, Pizza, Burger, Desserts",4.0,1100,No,No,Premium,High Rating
Cafe Cerrise,Ulsoor,"Cafe, Continental, Salad",3.8,600,Yes,No,Mid,Average
Rolls On Wheels,Cunningham Road,"Fast Food, Rolls, Momos",3.7,200,No,No,Low,Average
The Sanctuary,Banaswadi,"Cafe, Fast Food",3.9,450,No,No,Low,Average
BISO - Citrus Hotels,Cunningham Road,"North Indian, South Indian, Italian, Continental",3.9,1100,No,Yes,Premium,Average
Chai Point,Cunningham Road,"Tea, Beverages, Fast Food",3.8,250,No,No,Low,Average
Mummy Dhaba,Ulsoor,North Indian,3.2,300,Yes,No,Low,Average
Unicorn Bar & Restaurant,Infantry Road,"Seafood, North Indian, Chinese",3.9,800,No,No,Mid,Average
WOW! Momo,Banaswadi,"Tibetan, Momos",2.8,400,Yes,No,Low,Low Rating
Pai Vihar,Vasanth Nagar,"South Indian, Street Food, Chinese, Fast Food",2.8,400,Yes,No,Low,Low Rating
Sherlock's Pub,Frazer Town,"Continental, North Indian, Chinese",4.0,1500,No,No,Premium,High Rating
Hammered,Cunningham Road,"North Indian, Thai, Japanese, Continental, Cafe",4.7,1300,Yes,Yes,Premium,High Rating
1Q1,Infantry Road,"Asian, Japanese, Thai, Malaysian, Vietnamese, Korean, Chinese",4.3,2500,No,Yes,Premium,High Rating
Watson's,Ulsoor,"Finger Food, North Indian",4.2,1300,No,Yes,Premium,High Rating
Skylit - Citrus Hotels,Cunningham Road,"North Indian, Mughlai, Mediterranean",4.0,1300,No,Yes,Premium,High Rating
WYT RestroPub,MG Road,"North Indian, Chinese",2.7,1000,No,No,Mid,Low Rating
Slounge - Lemon Tree Premier,Ulsoor,Finger Food,4.0,1500,No,No,Premium,High Rating
Sherlock's Pub,Frazer Town,"Continental, North Indian, Chinese",4.0,1500,No,No,Premium,High Rating
Dolphin Bar,Frazer Town,"Chinese, Finger Food, North Indian, Seafood",3.8,1000,No,No,Mid,Average
Tiger Trail - Ramada Hotel,Shivajinagar,"North Indian, Lucknowi",4.0,1300,Yes,Yes,Premium,High Rating
Hammered,Cunningham Road,"North Indian, Thai, Japanese, Continental, Cafe",4.7,1300,Yes,Yes,Premium,High Rating
1Q1,Infantry Road,"Asian, Japanese, Thai, Malaysian, Vietnamese, Korean, Chinese",4.3,2500,No,Yes,Premium,High Rating
Watson's,Ulsoor,"Finger Food, North Indian",4.2,1300,No,Yes,Premium,High Rating
Carnival de Goa,Ulsoor,"Goan, Mangalorean, Pizza",4.2,1000,Yes,Yes,Mid,High Rating
The Grill House,Ulsoor,"American, Mexican, Italian, Steak",4.1,1200,Yes,Yes,Premium,High Rating
Ging - Royal Orchid Central,MG Road,Asian,4.3,2000,Yes,Yes,Premium,High Rating
WYT RestroPub,MG Road,"North Indian, Chinese",2.7,1000,No,No,Mid,Low Rating
The Fisherman's Wharf,Sarjapur Road,"Seafood, Goan, North Indian, Continental, Asian",4.4,1400,Yes,Yes,Premium,High Rating
The Buffet Table,HSR,"North Indian, Pan Asian, Chinese, Italian, Continental, South Indian",3.904002259690596,1200,No,Yes,Premium,Average
Shift,HSR,"Finger Food, Continental, North Indian",4.2,1500,Yes,Yes,Premium,High Rating
Broadway - The Gourmet Theatre,HSR,"Japanese, North Indian, Italian, Korean, Mexican, Thai",4.2,1800,Yes,Yes,Premium,High Rating
Onesta,HSR,"Pizza, Cafe, Italian",4.4,600,Yes,Yes,Mid,High Rating
Bonum cibum,HSR,"Lebanese, Turkish",4.5,1200,Yes,No,Premium,High Rating
Kitchen On Table,HSR,"BBQ, Chinese, Japanese, Asian",4.3,1000,Yes,No,Mid,High Rating
Purnabramha Maharashtrian Restaurant,HSR,Maharashtrian,3.7,850,Yes,No,Mid,Average
Empire Restaurant,HSR,"North Indian, Mughlai, South Indian, Chinese",3.9,750,Yes,No,Mid,Average
Howrah Bridge,HSR,"Bengali, Seafood",3.3,600,Yes,No,Mid,Average
Atithi,HSR,"North Indian, Chinese, Street Food",3.9,800,Yes,Yes,Mid,Average
Shri Madhuram,HSR,"South Indian, North Indian",3.9,400,No,No,Low,Average
Foxtrot - House of Subculture,Koramangala 3rd Block,"Cafe, American, Asian, North Indian",4.4,1000,No,Yes,Mid,High Rating
Barbeque Nation,Koramangala 1st Block,"North Indian, European, Mediterranean, BBQ, Kebab",4.7,1600,No,Yes,Premium,High Rating
Opus Food Stories,Sarjapur Road,"Goan, Asian, North Indian, European, Continental",4.6,1500,No,Yes,Premium,High Rating
Little Italy,Sarjapur Road,"Italian, Pizza",4.3,1500,Yes,Yes,Premium,High Rating
Melange - Hotel Ekaa,Electronic City,"North Indian, Chinese, Continental, Mangalorean",3.2,900,Yes,Yes,Mid,Average
Spice It - Ibis Hotel,Bommanahalli,"Asian, Continental, European, Fast Food, North Indian, Mughlai, South Indian",3.0,1200,No,Yes,Premium,Average
The Hub - Ibis Hotel,Bommanahalli,"Finger Food, Fast Food",3.7,1500,No,No,Premium,Average
Equinox Bar - DoubleTree Suites By Hilton,Sarjapur Road,"Continental, Thai, Vietnamese, American, Chinese, North Indian, Finger Food",3.9,1900,No,Yes,Premium,Average
Zee5 Loft,HSR,"Cafe, Burger, Pizza, Sandwich",4.4,700,Yes,No,Mid,High Rating
Tea Villa Cafe,HSR,"Cafe, Tea, Continental, Mediterranean, Italian, Desserts, Beverages",4.2,800,Yes,Yes,Mid,High Rating
Onesta,HSR,"Pizza, Cafe, Italian",4.4,600,Yes,Yes,Mid,High Rating
Here & Now,HSR,"Cafe, American, Burger, Beverages",4.6,750,No,No,Mid,High Rating
Amour Fine Patisserie,HSR,"Cafe, Desserts, Continental",4.0,500,Yes,Yes,Low,High Rating
Sector 7 CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,HSR,"Cafe, Continental, Pizza, Salad",4.3,700,Yes,No,Mid,High Rating
Blk Plus Wht,HSR,"Asian, Thai, North Indian",4.3,800,No,No,Mid,High Rating
Grapevine,HSR,"Cafe, Continental, Italian, Beverages, Mediterranean",4.1,1200,Yes,Yes,Premium,High Rating
Third Wave Coffee Roasters,HSR,"Cafe, Continental",4.2,800,Yes,No,Mid,High Rating
Caffe Pascucci,HSR,"Cafe, Continental, Pizza, Italian, Beverages",4.1,950,Yes,Yes,Mid,High Rating
Smally's Resto Cafe,HSR,"Cafe, Italian, Burger, American, Steak",4.0,650,Yes,No,Mid,High Rating
Soup'ermanz Kitchen,HSR,"Cafe, Continental, Burger",4.1,750,Yes,No,Mid,High Rating
Tea Addict,HSR,"Cafe, Beverages",4.0,300,Yes,No,Low,High Rating
Grilliez,HSR,"Cafe, Arabian, Continental, Turkish, Fast Food, Burger, Beverages",4.1,600,Yes,No,Mid,High Rating
Sunny Cafe & Kitchen,HSR,"Cafe, Continental, Beverages, Desserts",3.8,700,Yes,Yes,Mid,Average
The Grub Central,HSR,"Cafe, Italian, Continental",4.0,700,Yes,Yes,Mid,High Rating
The Chocolate Room,HSR,"Cafe, Bakery, Fast Food, Desserts",3.9,600,Yes,No,Mid,Average
House Stark Cafe,HSR,"Cafe, Desserts, Fast Food, Burger",3.9,300,Yes,No,Low,Average
Cafe Mondo,HSR,"Cafe, Italian, Pizza, Chinese",3.6,700,Yes,No,Mid,Average
Chef Baker's,HSR,"Continental, Cafe, Desserts, Italian, Bakery",3.8,600,Yes,No,Mid,Average
Keep It Straight Cafe,HSR,"Cafe, North Indian, Fast Food",3.9,500,Yes,Yes,Low,Average
Canopy Flavours,HSR,"Cafe, Fast Food",2.6,450,No,No,Low,Low Rating
That Garage Cafe,HSR,"Cafe, Italian, Continental, European, Biryani, Chinese",3.1,650,Yes,No,Mid,Average
Brimstone Cafe,HSR,"Cafe, Continental, Salad, Italian",4.0,1300,Yes,Yes,Premium,High Rating
The Wicked Cup,HSR,"Cafe, Sandwich, Fast Food, Beverages, Desserts",3.9,350,No,No,Low,Average
Gold Bean,HSR,Cafe,2.5,550,No,No,Mid,Low Rating
Foodiesthan,HSR,"Cafe, Fast Food, North Indian",3.7,600,Yes,No,Mid,Average
Kairos,HSR,"Cafe, Italian, European",3.8,1000,No,No,Mid,Average
Chaai Resto,HSR,"Tea, Beverages, Fast Food",3.9,250,Yes,No,Low,Average
Talk Over Table Cafe,HSR,"Cafe, Italian, Beverages",3.7,500,No,No,Low,Average
Bistro Claytopia,Koramangala 1st Block,"Cafe, American, Italian, Burger",4.1,600,Yes,Yes,Mid,High Rating
Mimansa @ Foxtrot,Koramangala 3rd Block,Cafe,4.4,1000,Yes,Yes,Mid,High Rating
Mid-Night Crunch,HSR,"North Indian, Chinese",3.7,400,Yes,No,Low,Average
Midnight Mania,Koramangala 6th Block,"Pizza, Italian, Beverages",4.1,700,Yes,No,Mid,High Rating
Truly Punjab,Koramangala 1st Block,"North Indian, Biryani",4.1,500,Yes,No,Low,High Rating
M.M Restaurant,HSR,"Chinese, North Indian, Biryani",3.9,600,Yes,No,Mid,Average
B.M.W - Bhookh Mitaane Wala,Koramangala 1st Block,"North Indian, South Indian, Chinese",3.7,500,Yes,No,Low,Average
Biryani Miya,Sarjapur Road,"Biryani, North Indian",3.7,600,Yes,No,Mid,Average
Rollin,Koramangala 4th Block,"Continental, Pizza, Chinese",4.1,400,Yes,No,Low,High Rating
Kokomo,Koramangala 6th Block,"Thai, Chinese",4.0,500,Yes,No,Low,High Rating
Crunch Pizzas - Express Delivery,Indiranagar,Pizza,3.0,500,Yes,No,Low,Average
The Charcoal Factory,Koramangala 6th Block,"Burger, Pizza, Momos",4.1,600,Yes,No,Mid,High Rating
Nite Out,Sarjapur Road,"North Indian, Chinese, Biryani",4.0,500,Yes,No,Low,High Rating
Eatsomnia,Koramangala 1st Block,"North Indian, South Indian, Chinese, Continental",3.5,500,Yes,No,Low,Average
DinePost9,Koramangala 1st Block,"North Indian, South Indian, Chinese, Continental",3.9,450,Yes,No,Low,Average
The Hidden Cafe,Koramangala 1st Block,"North Indian, Fast Food",3.9,350,Yes,No,Low,Average
Dhaba Express,HSR,"Biryani, Fast Food, North Indian, Chinese",3.7,400,Yes,No,Low,Average
Fish Chain,HSR,"Seafood, BBQ, Biryani",4.0,250,Yes,No,Low,High Rating
Chai Point,HSR,"Tea, Beverages, Fast Food",4.0,250,Yes,No,Low,High Rating
Empire Restaurant,HSR,"Kerala, Seafood, South Indian, Chinese, North Indian, Charcoal Chicken, Beverages",4.0,400,Yes,No,Low,High Rating
Golden Restaurant,HSR,"North Indian, Mughlai",3.4,750,Yes,Yes,Mid,Average
Shanmukha,HSR,"Biryani, Andhra, North Indian, Chinese",4.0,800,Yes,No,Mid,High Rating
Behrouz Biryani,HSR,Biryani,4.0,650,Yes,No,Mid,High Rating
Doof,Electronic City,"Fast Food, Beverages",4.0,450,Yes,No,Low,High Rating
XO Belgian Waffle,HSR,"Desserts, Beverages",4.5,400,Yes,No,Low,High Rating
Aasife & Brothers Biriyani Centre,HSR,"Biryani, North Indian, South Indian, Chinese",3.9,600,Yes,No,Mid,Average
Biryani Junction,Bommanahalli,"Biryani, North Indian, Chinese",2.3,450,Yes,No,Low,Low Rating
Fritz Haber,HSR,"Ice Cream, Desserts",4.1,450,Yes,No,Low,High Rating
The Pancake Story,Koramangala 1st Block,"Desserts, Beverages",4.6,300,Yes,No,Low,High Rating
Faasos,Koramangala 1st Block,"North Indian, Biryani, Fast Food",4.0,500,Yes,No,Low,High Rating
McDonald's,HSR,"Burger, Fast Food",3.8,500,Yes,No,Low,Average
Stoned Monkey,HSR,"Desserts, Ice Cream",3.9,500,Yes,No,Low,Average
Bubble Bee,HSR,"Beverages, Bubble Tea, Desserts",3.9,400,Yes,No,Low,Average
Barbeque Delight,Sarjapur Road,"Arabian, Kerala, North Indian, Chinese, BBQ",3.8,800,Yes,Yes,Mid,Average
Delhi Food Point,Koramangala 1st Block,"North Indian, Beverages",3.3,250,Yes,No,Low,Average
NH-1,Bellandur,North Indian,3.8,600,Yes,No,Mid,Average
Zangos Grill,Koramangala 1st Block,"BBQ, Fast Food",4.0,300,Yes,No,Low,High Rating
BOX8- Desi Meals,HSR,"North Indian, Mughlai, Fast Food",4.2,500,Yes,No,Low,High Rating
Onesta,HSR,"Pizza, Cafe, Italian",4.4,600,Yes,Yes,Mid,High Rating
Soup'ermanz Kitchen,HSR,"Cafe, Continental, Burger",4.1,750,Yes,No,Mid,High Rating
Domino's Pizza,Sarjapur Road,"Pizza, Fast Food",2.7,400,Yes,No,Low,Low Rating
What'sinaPita,Koramangala 1st Block,"Mediterranean, Middle Eastern, Wraps, Rolls",3.9,400,Yes,No,Low,Average
Al-Bek,HSR,"Biryani, North Indian, Charcoal Chicken, Chinese, Seafood, Rolls",3.6,300,Yes,No,Low,Average
Cafe Coffee Day The Lounge,HSR,"Cafe, Fast Food",3.8,650,Yes,No,Mid,Average
Moolehatti Donne Biryani Mane,HSR,"Biryani, Chinese, North Indian, Kebab",3.6,400,Yes,No,Low,Average
Mealsbaba,HSR,North Indian,3.7,400,Yes,No,Low,Average
Polar Bear,Bellandur,"Ice Cream, Desserts, Beverages, Sandwich",4.2,400,Yes,No,Low,High Rating
Magnolia,Koramangala 3rd Block,"Chinese, Thai, Asian",4.1,900,Yes,Yes,Mid,High Rating
Kitchens@HSR,HSR,"Biryani, Kerala, Mughlai, Street Food, North Indian, Chinese, South Indian, Andhra",3.1,200,Yes,No,Low,Average
Aligarh House,HSR,"North Indian, Biryani, Awadhi, Mughlai",4.4,400,Yes,No,Low,High Rating
Sardarji Londonwaley,Koramangala 1st Block,North Indian,3.9,450,Yes,No,Low,Average
Mojo Pizza - 2X Toppings,HSR,Pizza,4.2,600,Yes,No,Mid,High Rating
Silbatti,HSR,North Indian,4.0,750,No,Yes,Mid,High Rating
Rolla Rappa,HSR,"Biryani, Fast Food, Rolls, Momos",3.6,400,Yes,No,Low,Average
Kapoor's Cafe,HSR,North Indian,4.0,800,No,No,Mid,High Rating
The Punjabi Rasoi,HSR,North Indian,4.0,800,No,No,Mid,High Rating
HSR High Street,HSR,"Hyderabadi, North Indian, South Indian, Biryani",3.8,800,No,Yes,Mid,Average
Fish & Fries Restaurant,HSR,"Continental, Seafood, Bengali, Fast Food",4.0,750,No,No,Mid,High Rating
Frozen Bottle,Sarjapur Road,"Beverages, Desserts",3.904002259690596,400,Yes,No,Low,Average
California Burrito,HSR,"Mexican, Fast Food",4.1,400,No,No,Low,High Rating
Asha Tiffins,HSR,South Indian,4.3,150,Yes,No,Low,High Rating
Punjabi Nawabi,HSR,North Indian,4.0,500,Yes,No,Low,High Rating
Burger King,HSR,"Burger, Fast Food, Beverages",4.1,600,Yes,No,Mid,High Rating
Mustard Food Court,HSR,"North Indian, Chinese",3.9,500,No,No,Low,Average
Apsara Ice Cream,HSR,"Ice Cream, Desserts",4.5,200,No,No,Low,High Rating
Ovenstory Pizza,HSR,Pizza,4.0,750,Yes,No,Mid,High Rating
Grilliez,HSR,"Cafe, Arabian, Continental, Turkish, Fast Food, Burger, Beverages",4.1,600,Yes,No,Mid,High Rating
La Pino'z Pizza,Koramangala 4th Block,"Italian, Pizza, Beverages",4.1,600,Yes,No,Mid,High Rating
Krutunga,HSR,"Andhra, Biryani",3.6,500,No,No,Low,Average
Oh My Biryani,HSR,"Biryani, North Indian",3.7,550,Yes,No,Mid,Average
Kaka-T-Cafe,HSR,"Arabian, Fast Food",4.0,400,No,No,Low,High Rating
Udupi Bhavan,HSR,"Chinese, North Indian, South Indian",3.8,400,Yes,No,Low,Average
Cupcake Noggins,HSR,"Desserts, Bakery",4.1,300,No,No,Low,High Rating
Kadal Da Meen,HSR,"Biryani, Seafood",3.9,900,Yes,No,Mid,Average
Udupi Palace,HSR,"South Indian, North Indian, Chinese, Street Food",3.7,400,No,No,Low,Average
The Buffet Table,HSR,"North Indian, Pan Asian, Chinese, Italian, Continental, South Indian",3.904002259690596,1200,No,Yes,Premium,Average
Vasudev Adiga's,HSR,"South Indian, North Indian, Chinese, Street Food",3.7,250,No,No,Low,Average
Hakka Chinese Restaurant,Koramangala 1st Block,"Chinese, Thai",3.9,600,Yes,No,Mid,Average
Anjappar,HSR,"Chettinad, South Indian",2.9,650,No,No,Mid,Low Rating
Rolls On Wheels,HSR,"Fast Food, Rolls, Momos",3.6,300,No,No,Low,Average
Nandhini Deluxe,HSR,"Andhra, North Indian",3.6,800,No,No,Mid,Average
Uptown Sliders & Shakes,HSR,"Burger, Fast Food, Beverages",3.9,600,Yes,No,Mid,Average
Snow'ora,Koramangala 4th Block,"Desserts, Ice Cream, Beverages",4.3,450,Yes,Yes,Low,High Rating
@Italy,HSR,"Italian, Pizza",3.5,700,No,No,Mid,Average
Idli & Dosa Cafe,HSR,South Indian,2.6,200,No,No,Low,Low Rating
Maa Bhook Lagi,Koramangala 4th Block,North Indian,3.9,400,Yes,No,Low,Average
Vegan Heat,Koramangala 1st Block,"Healthy Food, Salad",4.1,650,Yes,No,Mid,High Rating
House Stark Cafe,HSR,"Cafe, Desserts, Fast Food, Burger",3.9,300,Yes,No,Low,Average
Food Theory,HSR,"Biryani, North Indian, Italian, Chinese, Sandwich, Desserts",2.6,500,No,No,Low,Low Rating
The Wicked Cup,HSR,"Cafe, Sandwich, Fast Food, Beverages, Desserts",3.9,350,No,No,Low,Average
Al Daaz,HSR,"North Indian, Continental, BBQ",4.2,550,Yes,No,Mid,High Rating
Tea Addict,HSR,"Cafe, Beverages",4.0,300,Yes,No,Low,High Rating
56 Bhoga Sweets,HSR,"Mithai, Street Food",3.6,150,No,No,Low,Average
Hunger Meals,HSR,"South Indian, North Indian, Biryani",3.9,400,No,No,Low,Average
Spice of Andhra,HSR,Andhra,3.7,500,No,No,Low,Average
Shiv Shakthi,HSR,"Street Food, North Indian",4.0,100,Yes,No,Low,High Rating
Saahib,HSR,"Fast Food, Rolls",3.9,300,No,No,Low,Average
Ammi's Biryani,HSR,"Biryani, North Indian",2.8,500,No,No,Low,Low Rating
Om Nom Thai,South Bangalore,"Thai, Momos",3.9,400,No,No,Low,Average
Warm Oven,HSR,"Bakery, Desserts",4.0,500,Yes,No,Low,High Rating
The Little Chef,HSR,"North Indian, Chinese",3.5,600,No,No,Mid,Average
Dosa Time,Sarjapur Road,South Indian,3.8,200,Yes,No,Low,Average
Biryani Affair,HSR,Biryani,3.5,350,Yes,No,Low,Average
FreshMenu,Koramangala,"Healthy Food, Chinese, Biryani, North Indian, Continental, Salad, American, Burger",3.9,450,Yes,No,Low,Average
Biryani Palace,HSR,"Biryani, Hyderabadi, Chinese",3.9,600,Yes,No,Mid,Average
Howrah Bridge,HSR,"Bengali, Seafood",3.3,600,Yes,No,Mid,Average
Potful,Sarjapur Road,"Biryani, Kebab, Rolls, Mughlai",3.8,650,Yes,No,Mid,Average
Sangam Sweets,HSR,"Mithai, Street Food",3.9,200,Yes,No,Low,Average
The Paratha Company,Koramangala 4th Block,North Indian,4.3,400,Yes,No,Low,High Rating
Juicemaker,HSR,"Beverages, Fast Food",3.7,400,No,No,Low,Average
KFC,HSR,"Burger, Fast Food",3.6,400,Yes,No,Low,Average
New Punjabi Dhaba,HSR,"North Indian, Chinese",3.9,300,Yes,No,Low,Average
Mani's Dum Biryani,Bellandur,"Biryani, Kebab",4.0,750,Yes,No,Mid,High Rating
Tea Villa Cafe,HSR,"Cafe, Tea, Continental, Mediterranean, Italian, Desserts, Beverages",4.2,800,Yes,Yes,Mid,High Rating
The Mylapore Cafe,HSR,"South Indian, Kerala",4.1,200,Yes,No,Low,High Rating
Just Shawarma,HSR,Arabian,3.9,300,Yes,No,Low,Average
Zero Mile Punjab,HSR,"North Indian, Mughlai",4.1,800,Yes,Yes,Mid,High Rating
Cake Town Cafe,Bellandur,"Bakery, Desserts",3.9,500,Yes,No,Low,Average
La Casa Brewery And Kitchen,Sarjapur Road,"Finger Food, Continental, Seafood",4.4,1500,Yes,Yes,Premium,High Rating
Hoot,Sarjapur Road,"Continental, Italian, North Indian",4.2,1400,Yes,Yes,Premium,High Rating
Bihar Ki Shan,HSR,North Indian,3.8,300,Yes,No,Low,Average
Stoner,Sarjapur Road,"Ice Cream, Cafe, Pizza, Burger, Desserts, Beverages",4.3,500,Yes,No,Low,High Rating
The Tandoori Chai,HSR,"North Indian, Fast Food, Street Food, Beverages",3.9,400,Yes,No,Low,Average
Al Khansah,Bellandur,"Biryani, Mughlai, Chinese, North Indian, Kebab",3.9,550,Yes,No,Mid,Average
Kachori Kafe,HSR,"Street Food, Mithai, Desserts, North Indian",3.1,300,Yes,No,Low,Average
Hotel Junior Kuppanna,HSR,"Chettinad, South Indian",3.1,550,Yes,No,Mid,Average
The Fisherman's Wharf,Sarjapur Road,"Seafood, Goan, North Indian, Continental, Asian",4.4,1400,Yes,Yes,Premium,High Rating
Udupi Ruchi,Bellandur,"South Indian, North Indian, Chinese, Street Food",3.8,200,Yes,No,Low,Average
Mughal Treat,HSR,"North Indian, Chinese, Mughlai",4.0,600,Yes,No,Mid,High Rating
